code,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2020,2021
DOM,0.1172,0.1172,0.1172,0.1172,0.087,0.1049,0.1184,0.1184,0.1283,0.14,0.085,0.179,0.179,0.163,0.172
DZA,0.0495,0.0495,0.0558,0.0558,0.035,0.035,0.1511,0.1511,0.1772,0.205,0.205,0.145,0.145,0.145,0.151
ECU,0.1003,0.1446,0.2381,0.2826,0.2665,0.2668,0.3126,0.3604,0.2914,0.297,0.297,0.283,0.283,0.26,0.318
EGY,0.0218,0.0218,0.0227,0.0227,0.0311,0.0311,0.0348,0.0348,0.0413,0.048,0.087,0.087,0.087,0.133,0.196
ESP,0.4214,0.4214,0.3688,0.3688,0.4258,0.426,0.2841,0.2841,0.3139,0.326,0.316,0.354,0.354,0.527,0.491
EST,0.1167,0.1313,0.1555,0.1555,0.1138,0.0989,0.0989,0.1038,0.1221,0.308,0.308,0.218,0.228,0.294,0.201
ETH,0.1023,0.1023,0.1129,0.1129,0.1021,0.139,0.1457,0.1457,0.1563,0.232,0.231,0.223,0.223,0.427,0.382
FIN,0.4704,0.5165,0.5577,0.5709,0.5686,0.606,0.6162,0.6162,0.6162,0.607,0.607,0.519,0.519,0.563,0.669
FJI,,,,0.0608,0.0358,0.0358,0.0448,0.0448,0.0358,0.097,,0.104,0.104,0.15,0.16
FRA,0.104,0.104,0.2939,0.2939,0.1695,0.1691,0.1452,0.187,0.352,0.365,0.365,0.453,0.458,0.459,0.457
GBR,0.3074,0.3074,0.2801,0.2801,0.2933,0.2927,0.2737,0.2747,0.2698,0.335,0.335,0.404,0.421,0.396,0.419
GEO,0.1042,0.1042,0.0881,0.0726,0.0388,0.039,0.0711,0.0915,0.1111,0.089,0.089,0.093,0.093,0.154,0.245
GHA,0.071,0.071,0.0847,0.0733,0.0961,0.0962,0.0839,0.0937,0.1097,0.112,0.112,0.097,0.097,0.129,0.135
GIN,,,,,,,,,0.1296,0.13,0.13,0.162,0.162,0.125,0.157
GMB,0.1089,0.0939,0.1272,0.1272,0.1377,0.1375,0.1375,,,0.098,0.098,0.106,0.106,0.067,0.112
GRC,0.0609,0.0609,0.0863,0.0863,0.1773,0.1772,0.0858,0.0969,0.0961,0.12,0.104,0.136,0.138,0.164,0.123
GTM,0.1101,0.1101,0.0599,0.0599,0.0423,0.0422,0.0475,0.0475,0.1374,0.109,0.112,0.102,0.102,0.092,0.112
GUY,,,,0.2535,0.2674,0.2678,0.2668,0.2668,0.2591,0.261,,,,,0.31
HND,0.1359,0.1359,0.1707,0.1727,0.2052,0.2053,0.128,0.128,0.1606,0.16,0.16,0.2,0.176,0.199,0.179
HRV,0.2375,0.2375,0.1579,0.1579,0.1417,0.1598,0.1779,0.1779,0.1817,0.193,0.154,0.18,0.191,0.232,0.294
HUN,0.069,0.069,0.1061,0.1061,0.0309,0.031,0.0574,0.0574,0.0636,0.035,0.035,0.035,0.045,0.065,0.112
IDN,0.1007,0.1007,0.1014,0.1224,0.1407,0.14,0.1316,0.1334,0.1262,0.168,0.168,0.193,0.193,0.172,0.164
IND,0.2266,0.2266,0.2484,0.2731,0.2913,0.3119,0.3343,0.3852,0.3855,0.433,0.433,0.407,0.382,0.411,0.276
IRL,0.3233,0.3431,0.3535,0.3742,0.3985,0.4257,0.4115,0.4115,0.414,0.474,0.502,0.493,0.493,0.493,0.504
IRN,0.031,0.031,0.0172,0.0172,0.0165,0.0166,0.0346,0.0346,0.0374,0.037,0.047,0.046,0.046,0.037,0.036
IRQ,,,,,,,,,,,,,0.135,0.105,0.136
ISL,0.456,0.456,0.5044,0.5905,0.6748,0.6971,0.7325,0.7544,0.6554,0.719,0.719,0.75,0.674,0.701,0.76
ISR,0.1501,0.1501,0.1351,0.1496,0.1375,0.1412,0.1559,0.1643,0.1965,0.205,0.224,0.232,0.232,0.214,0.227
ITA,0.0872,0.0872,,0.1619,0.1523,0.1525,0.1348,0.1912,0.2479,0.331,0.331,0.234,0.267,0.267,0.313
JAM,0.0983,0.0983,0.0913,0.0913,0.0967,0.0961,0.1247,0.1345,0.1447,0.155,0.183,0.171,0.171,0.197,0.23
JOR,0.0476,0.0476,0.0642,0.0642,0.0394,0.0558,0.0552,0.0607,0.0731,0.073,0.073,0.075,0.075,0.121,0.066
